,Date,Open,High,Low,Close,Volume,Intercept,Deviance,Slope,Z_Score,Z_Score2,Z_Score3,Strength,#10%Opps,#5%Opps,EPS,AvgVolume,TradeCapital,BuyPrice,PriceGrowth%,Ranking,Sector,Industry,Ticker
537,2025-04-07,11.029999732971191,11.699999809265137,11.0,11.579999923706056,6561.0,8.479505433783238,0.3656456752265434,0.0043787958926929,-4.888551131823848,-1.371336905257062,-1.111827189444931,-0.0215536202074786,0,3,0.99,1111,12865.38,12.33908977671954,-4.34569957592359,61563.58,Financial Services,Asset Management,PRM.TO
519,2025-04-07,338.5299987792969,338.5299987792969,338.5299987792969,338.5299987792969,123.0,236.61143637662565,0.4307423341974165,0.1137495282436012,-4.737513386405238,-3.417216475597326,-3.282000250211028,-0.481338346330955,0,0,105.06,177,59919.81,370.4973154525158,-4.409867902997707,17876.97,Financial Services,Asset Management,SEC.TO
539,2025-04-07,6.079999923706055,5.579999923706055,5.190000057220459,5.289999961853027,3099492.0,0.9935078760369822,4.324567715511611,0.00545211530059,-4.420457533139492,-2.515146755368029,-0.1827427744161293,0.0155591214977707,0,35,0.68,672567,3557879.43,5.886964914480602,-6.627648273465731,16981.89,Energy,Oil & Gas E&P,CJ.TO
185,2025-04-07,13.579999923706056,14.149999618530272,13.220000267028809,13.359999656677246,251059.0,23.86964968927928,-0.4402934341060855,-0.0051172920463371,-3.9895220738510218,-2.102140930581449,-0.5548234574387008,0.2030000069038978,0,16,-5.64,182314,2435715.04,14.2877563380583,-5.325804052098201,13180.7,Basic Materials,Lumber & Wood Production,CFP.TO
709,2025-04-07,29.59000015258789,30.739999771118164,28.979999542236328,30.030000686645508,1291797.0,29.50990292135327,0.017624516308249,0.000278340325251,-4.118419430966165,-3.268939383902137,-1.1661000170207032,-0.126464893171918,18,25,-0.74,742991,22312019.73,32.55935554146473,-6.543816739600008,9070.3,Industrials,Aerospace & Defense,CAE.TO
1186,2025-04-07,12.010000228881836,11.399999618530272,10.710000038146973,11.18000030517578,1193476.0,4.278463577506936,1.6130876429455023,0.0091343721006304,-4.040951617585747,-3.228992195526849,-0.466556751332247,-0.0090307732190324,0,16,0.98,706198,7895293.64,11.836320203287876,-5.384442574807573,8721.13,Energy,Oil & Gas E&P,FRU.TO
356,2025-04-07,6.0,7.050000190734863,5.800000190734863,5.849999904632568,4490.0,37.22288432606712,-0.8428386190229803,-0.0210136762928337,-3.913585544755501,-1.7288447282886883,-1.5422065580147828,0.0456480472494646,2,38,-10.15,6333,37048.05,6.468945178832047,-7.421771034076258,6861.9,Financial Services,Asset Management,PGIC.TO
983,2025-04-07,11.75,12.859999656677246,11.460000038146973,12.5600004196167,34899.0,8.979267473881139,0.398777846428028,0.0036969045721476,-3.984487570819766,-1.404755630318376,0.2038307375013006,-0.1129024668064264,0,26,-1.09,10691,134278.96,12.943586425117918,-5.529735354844522,6406.6,Real Estate,Real Estate Services,BRE.TO
604,2025-04-07,10.479999542236328,9.640000343322754,9.43000030517578,9.449999809265137,3247.0,4.584377164269807,1.0613486784895283,0.004685163250262,-4.458378224664415,-3.135583602048944,-0.4901217906781078,-0.6172488036199092,0,0,0.93,3787,35787.149999999994,9.8858545545266,-2.7563678644792544,5758.7,Consumer Cyclical,Resorts & Casinos,GH.TO
1343,2025-04-07,39.06999969482422,41.380001068115234,38.88999938964844,40.209999084472656,622385.0,27.121386860403565,0.4825937659986733,0.0106740969021711,-4.264253963551772,-2.9852292178097346,-0.6655895579925726,-0.482356247543139,0,4,3.93,352419,14170767.99,42.21662426620051,-4.351461282087384,5716.17,Financial Services,Asset Management,IGM.TO
20,2025-04-07,31.049999237060547,30.81999969482422,30.32999992370605,30.68000030517578,700705.0,13.7601650073255,1.229624447733197,0.0047943203582546,-3.890584120229604,-1.48529794012658,0.9560040685288528,-0.1041574597427871,0,0,-2.79,678756,20824234.08,30.784115235932425,-0.7832876240329399,5688.29,Financial Services,Asset Management,CIX.TO
1243,2025-04-07,37.720001220703125,39.560001373291016,36.93000030517578,39.06999969482422,12255868.0,12.159263658736515,2.2131879685619085,0.0198559896477633,-3.558377638445645,-2.540598263819775,0.2794766933335882,0.2019260537616996,0,36,2.84,7279538,284411549.66,40.52824371753703,-5.728058029036663,5407.32,Financial Services,Insurance - Life,MFC.TO
125,2025-04-07,3.799999952316284,3.799999952316284,3.5,3.5,1008.0,3.222350480943275,0.0861636624255251,0.0005814617761878,-4.304244025904883,0.73529086498502,0.73529086498502,-0.4681610634614318,0,0,0.21,45,157.5,3.763342161863293,-4.168668020799515,5316.22,Consumer Cyclical,Leisure,ICE.TO
1003,2025-04-07,25.899999618530277,27.40999984741211,25.850000381469727,26.88999938964844,580716.0,20.24840930651023,0.328005522932748,0.0085067761004719,-4.4081736608112765,-3.809435440609609,-1.147636965116415,-0.6786503120752522,0,4,2.73,269509,7247097.01,28.3648027783326,-4.479537910205267,4943.53,Basic Materials,Steel,LIF.TO
912,2025-04-07,9.270000457763672,10.0600004196167,9.09000015258789,9.6899995803833,3426902.0,7.064320937265288,0.3716816756253511,0.0044613987202249,-3.6253508965069257,-3.5770421455199983,-1.8832039722532157,0.1309546865223841,13,60,0.01,2685248,26020053.12,10.763210852901846,-10.517961804016307,4523.41,Basic Materials,Copper,LUN.TO
399,2025-04-07,7.289999961853027,7.510000228881836,6.639999866485596,7.420000076293945,197769.0,0.5543338805264675,12.385434910178953,0.0073720905522533,-4.259554540653787,-2.825946969267996,-0.7058338161860485,-0.5171565135673316,0,21,1.16,57961,430070.62,8.103480466264433,-8.439979457583643,4250.24,Energy,Oil & Gas Drilling,PHX.TO
1117,2025-04-07,18.670000076293945,20.700000762939453,18.43000030517578,19.86000061035156,3072400.0,2.636947566382606,6.531435536883175,0.0226421458504467,-3.114819077551449,-2.7068951047357137,-0.3621711166473604,0.52262831062212,21,42,1.87,2743869,54493238.34,21.04814505796828,-10.240795486325087,3873.62,Energy,Oil & Gas E&P,MEG.TO
156,2025-04-07,4.199999809265137,4.679999828338623,4.199999809265137,4.429999828338623,13674.0,2.992712313985276,0.4802625055661862,0.0011459947187935,-4.073529823155354,-3.570307507170099,-1.084797622205615,-0.3659453456684364,0,34,-0.2,13761,60961.23,4.95096808493034,-8.944922755739466,3455.52,Basic Materials,Copper,MARI.TO
1254,2025-04-07,93.06999969482422,91.0,85.08999633789062,87.86000061035156,1679752.0,11.977463822670105,6.335442787483634,0.0734323826996431,-3.160503024819844,-2.235628137505252,-0.4440068521812778,0.3868471921465817,0,59,9.03,872737,76678672.82,91.89065044779072,-6.756431052371825,3434.12,Energy,Oil & Gas Integrated,IMO.TO
163,2025-04-07,58.75,62.11000061035156,58.7400016784668,59.58000183105469,3743069.0,12.25329614323779,3.86236528804823,0.0507515270478817,-3.2171732521558765,-2.0099537182863,0.8337900289427632,0.2312968515774892,0,29,3.51,2309716,137612879.28,62.55214933764974,-6.045740539219559,2705.6,Energy,Oil & Gas E&P,TOU.TO
1459,2025-04-07,17.389999389648438,18.0,17.0,17.420000076293945,131808.0,8.457478268608686,1.0597156177097289,0.0070499200856788,-2.875139155574181,-0.5604025734124471,0.97500032903303,0.5946459006627005,0,3,2.06,43814,763239.8800000001,17.57385054473705,-3.185367018125338,2649.06,Financial Services,Mortgage Finance,MKP.TO
848,2025-04-07,12.43000030517578,13.199999809265137,12.0,12.75,96884.0,7.695670569522932,0.656775700676906,0.0042727163417791,-3.431038520295926,-0.8401226843301239,0.4919835246670244,0.0400153935547042,0,10,0.5,53179,678032.25,13.106920822393809,-5.550135218179351,2560.86,Financial Services,Asset Management,ENS.TO
415,2025-04-07,2.990000009536743,3.0299999713897705,2.8399999141693115,2.9200000762939453,164678.0,4.313245256336078,-0.3230155247943485,0.0016997873868486,-4.3395894066091945,-3.801180790442425,-1.4076775394623744,-0.7242156455057914,2,20,0.27,36927,107826.84,3.3053631799979417,-8.252317495195538,2269.0,Energy,Oil & Gas E&P,BNE.TO
1053,2025-04-07,34.720001220703125,36.18000030517578,33.619998931884766,35.459999084472656,132183.0,28.962497612343835,0.2243418906441129,0.007163343907947,-3.357902620424865,-2.565698660216512,-1.0040999245758162,-0.0050914074099753,14,25,1.98,108701,3854537.46,36.63748618279576,-6.139991601729275,2134.47,Industrials,Engineering & Construction,BDGI.TO
1144,2025-04-07,3.0,3.130000114440918,2.859999895095825,2.9800000190734863,1768896.0,0.4499502437089528,5.622954561618325,0.0035124604669487,-3.992053910174847,-3.8209906595131584,-2.1062401657590195,-0.4292491670660295,6,53,-0.05,477019,1421516.62,3.4791311887622065,-10.928541860580726,1912.77,Basic Materials,Other Industrial Metals & Mining,FOM.TO
1327,2025-04-07,6.989999771118164,7.579999923706055,6.400000095367432,7.300000190734863,19288.0,1.213453378690406,5.015888470814787,0.0043386027812401,-2.717074079739077,-0.9368722483453968,1.606122477777582,0.6220072071260845,10,74,1.12,20162,147182.6,7.208990789369414,-8.494138208990979,1741.91,Financial Services,Asset Management,LCS.TO
982,2025-04-07,11.5,11.880000114440918,10.93000030517578,11.029999732971191,458071.0,-2.2184526794759485,-5.971933742385139,0.0107835301392403,-3.9251503278362825,-2.380506870568352,-1.6918028842577486,-0.6518470238214561,2,28,-0.33,208516,2299931.48,12.47505451212668,-8.729131195716079,1592.93,Basic Materials,Other Industrial Metals & Mining,NGEX.TO
