,Date,Open,High,Low,Close,Volume,Slope,Slope20,Z_Score,Z_Score2,Z_Score3,#10%Opps,#5%Opps,TradeCapital,Ranking,Ticker
28,2025-03-19,219.8999938964844,221.00999450683597,218.1199951171875,220.97000122070312,254173.0,0.8191717187164325,1.2573117478449545,1.8456041017381637,1.8492168961283508,1.8463893682055064,0,101,61584339.0,1615587.8147666657,FNV.TO
75,2025-03-19,151.3800048828125,151.5,149.4600067138672,151.1300048828125,882120.0,0.6401172518919286,0.777827166793938,1.6624431988306478,1.725910319679442,1.6051865366227718,6,118,151218562.18,11801.691406471911,AEM.TO
67,2025-03-19,108.06999969482422,109.3499984741211,107.0199966430664,109.16999816894533,617892.0,0.4757789466571455,0.5580675741783658,1.9408701546415343,1.8641790760727883,1.8655150487352927,8,81,74937017.25,179.61773691362737,WPM.TO
99,2025-03-19,135.32000732421875,141.9199981689453,135.00999450683594,140.85000610351562,182000.0,-0.0089401079699326,0.4620225490484023,1.919461464575966,1.6133352223546278,0.5346772646034382,53,56,15337015.65,51.285553153817794,TVK.TO
90,2025-03-19,27.479999542236328,27.93000030517578,27.270000457763672,27.63999938964844,560098.0,-0.0688239015390606,0.2707668863741079,0.6489391429489726,0.5907769663285973,0.7466402051675047,67,21,13940123.44,22.6022103265674,MDA.TO
71,2025-03-19,5.010000228881836,5.630000114440918,5.0,5.510000228881836,382713.0,-0.038567952640721,-0.1094135223474717,-1.984010159785232,-2.3005529163686558,-2.146397966531307,23,53,1639445.4,4.079378600286507,VNP.TO
98,2025-03-19,24.68000030517578,24.84000015258789,24.38999938964844,24.670000076293945,84318.0,-0.0073992617731684,0.0144435968614162,-0.8601460972479534,-1.0493271040034529,-1.2873888675571683,14,45,1401330.01,4.066330732347028,PET.TO
22,2025-03-19,3.009999990463257,3.1700000762939453,3.009999990463257,3.1600000858306885,5053995.0,-0.0127199929709916,-0.02113937130548,-1.0066119772182929,-1.299329453005359,-1.1258861967230582,26,57,13957505.12,3.8314825858832986,BTE.TO
21,2025-03-19,43.959999084472656,44.2400016784668,43.27000045776367,44.16999816894531,291776.0,0.2264446502637131,0.2761701942386484,1.8311529197266356,1.892247639283111,1.591663167995605,57,115,17736993.54,3.6340372856789247,LUG.TO
32,2025-03-19,4.150000095367432,4.28000020980835,4.150000095367432,4.25,2380287.0,-0.0111172280193068,-0.0180413991885077,-0.8362592791794978,-0.852389379983451,-0.9612727348921954,10,45,9860709.75,2.993610247332239,TVE.TO
31,2025-03-19,118.16999816894533,120.06999969482422,118.16999816894533,120.05999755859376,169707.0,0.1206479226389238,0.2208119442588404,1.4124099904631209,1.0670326578170988,1.3209891793721662,28,24,31906545.3,2.7156589454382987,STN.TO
34,2025-03-19,12.050000190734863,12.289999961853027,12.020000457763672,12.119999885559082,323118.0,-0.0230142789061015,-0.1972105334575911,-2.4594612793824586,-2.583410436842386,-2.335341159888962,26,44,3211484.88,2.675850954060328,GOOS.TO
23,2025-03-19,3.150000095367432,3.2799999713897705,3.134999990463257,3.25,558828.0,-0.0103479638419915,-0.0180526292413697,-0.8475749449475546,-1.09657487832957,-1.056147894379164,55,39,1367421.25,2.5911076801330406,SDE.TO
47,2025-03-19,21.989999771118164,22.5,21.6299991607666,22.25,162008.0,-0.0795489462010763,-0.0142375386747202,-0.7000076918097252,-0.8336100326482095,-0.9358466478179164,8,49,4789846.5,2.433535524422677,BDT.TO
11,2025-03-19,4.46999979019165,4.585000038146973,4.46999979019165,4.550000190734863,470008.0,-0.0130085145021354,-0.011330817516585,-0.6809848149460026,-0.8778934861629805,-0.9108568732850972,11,35,2466413.95,2.354036256549233,TCW.TO
80,2025-03-19,6.159999847412109,6.429999828338623,6.159999847412109,6.360000133514404,1105100.0,-0.0129874863869169,-0.0246917265698425,-0.7786599554467499,-0.7984022397871954,-0.7529558736859963,24,58,4426407.36,2.3386076550805743,HWX.TO
39,2025-03-19,280.5599975585937,281.1099853515625,279.0799865722656,280.3800048828125,250201.0,0.6018448876552894,0.1614686664782072,0.9307808760215794,0.8478052772695747,1.1253773259668356,7,39,80792898.9,2.306467810448249,IFC.TO
25,2025-03-19,4.860000133514404,4.920000076293945,4.815000057220459,4.889999866485596,91185.0,-0.0076631414896593,-0.0269398560201315,-0.7851314065316939,-0.4889033648806209,-0.5932992075873905,11,55,1890679.38,2.207463079183376,CIA.TO
18,2025-03-19,11.770000457763672,12.050000190734863,11.619999885559082,11.949999809265137,1524984.0,-0.0314152668671025,0.0603180691711884,0.1615145650322395,-0.016718912305384,-0.2437459032208659,39,69,21608384.35,1.927796484387063,HBM.TO
49,2025-03-19,6.429999828338623,6.519999980926514,6.429999828338623,6.480000019073486,463494.0,-0.0166176605325473,-0.0100827120300522,-0.5333950076137045,-0.6828599164328697,-0.5867725198184397,22,59,2621484.0,1.9208805311383217,KEL.TO
10,2025-03-19,42.75,42.880001068115234,42.09000015258789,42.7599983215332,38636.0,-0.0654345431194174,-0.0812256289604015,-1.160002832402505,-1.2722880948181905,-1.2859950463607457,29,26,2581292.92,1.8384311405959208,MTY.TO
96,2025-03-19,12.329999923706056,12.619999885559082,12.239999771118164,12.59000015258789,1854834.0,-0.0343262776819125,-0.0036090176804621,-0.4004382941852155,-0.3794183510383111,-0.3857369312084534,14,48,9487257.45,1.810960203706725,NVA.TO
92,2025-03-19,28.170000076293945,29.190000534057617,28.030000686645508,29.030000686645508,41665.0,-0.0744167073702194,0.0740601518100365,0.3108228254517609,-0.1243587808388214,-0.2558687707928473,27,50,1340082.86,1.6930902230989109,SCR.TO
16,2025-03-19,14.770000457763672,15.130000114440918,14.59000015258789,14.989999771118164,1736461.0,-0.0658170311240403,-0.0432105344040949,-0.6626694978425223,-0.817310429190416,-1.052855825951792,14,43,30918613.84,1.645591689194813,IVN.TO
95,2025-03-19,9.020000457763672,9.329999923706056,9.010000228881836,9.279999732971191,6690096.0,-0.0197454175641459,-0.0767873699503733,-0.8474936090379819,-1.2234866342426916,-1.567489928202794,8,35,30874290.88,1.4095171904220063,WCP.TO
86,2025-03-19,13.550000190734863,13.579999923706056,13.529999732971191,13.5600004196167,726208.0,0.109030759479557,0.1854285706254772,1.6057862511475591,1.6019988381325672,1.596340460966278,69,23,15961191.24,1.2843631024947628,INE.TO
60,2025-03-19,2.569999933242798,2.5899999141693115,2.4649999141693115,2.5,497650.0,0.0007599157734814,-0.0055563942830365,-0.2010719720768135,0.5093488141534006,0.5546870382285347,36,76,952677.5,1.2271301599657405,NFG.V
8,2025-03-19,13.729999542236328,14.050000190734863,13.649999618530272,14.020000457763672,1384088.0,-0.1350344517696225,-0.1168231376131674,-1.078975617360696,-1.18536136019301,-1.135086758145887,8,40,31232536.26,1.183875566043435,TA.TO
35,2025-03-19,68.44000244140625,69.16999816894531,68.05000305175781,68.79000091552734,130063.0,0.2066673813390706,0.2116767424389832,1.7655534655760226,1.711760466666978,1.5407704846039214,9,108,14650619.04,1.1080888547714445,NGT.TO
43,2025-03-19,19.540000915527344,20.03499984741211,19.450000762939453,19.8799991607666,4423330.0,-0.0492280035155088,-0.0732477331520023,-0.6513745857221621,-0.8652310029499869,-0.8573479881376859,7,50,112632386.44,1.0806603887263295,CVE.TO
33,2025-03-19,37.209999084472656,37.68999862670898,36.47999954223633,37.43999862670898,757547.0,0.1760258715471724,0.2405876073622165,2.0356010336271635,2.016777665148384,1.9085131089148668,8,111,30835321.92,1.0292103856925257,AGI.TO
56,2025-03-19,33.41999816894531,34.20000076293945,33.41999816894531,34.09000015258789,36533.0,-0.0848208305887417,-0.1867218103623928,-1.7042575499328785,-1.8240963287383944,-1.7535907531897192,31,18,3298207.5000000005,0.9817626518165302,RCH.TO
